match_id,ano,is_home,player,player_id,shot_type,situation,body_part,xg,xgot,x,y,minuto,added_time
12116975,2024,True,Neris,840247.0,save,assisted,right-foot,0.10069135576487,0.4287,15.0,35.0,4,0.0
12116976,2024,False,Lázaro,1002556.0,miss,regular,right-foot,0.055965561419725,0.0,18.5,49.5,90,4.0
12116976,2024,False,José López,1094179.0,miss,corner,head,0.071248479187489,0.0,8.3,48.1,90,1.0
12116976,2024,False,Gabriel Menino,974556.0,block,assisted,right-foot,0.09196737408638,0.0,16.3,53.0,90,0.0
12116976,2024,False,Luis Guilherme,1464248.0,block,assisted,left-foot,0.042494002729654,0.0,20.0,63.7,89,0.0
12116976,2024,False,Rony,835260.0,miss,assisted,head,0.029997667297721,0.0,11.9,45.6,87,0.0
12116976,2024,True,Zeca,555454.0,save,assisted,right-foot,0.057283971458673,0.1129,12.6,60.3,85,0.0
12116976,2024,False,Gabriel Menino,974556.0,miss,free-kick,right-foot,0.059780634939671,0.0,23.5,62.0,82,0.0
12116976,2024,False,Rony,835260.0,block,corner,head,0.045476619154215,0.0,5.5,40.7,75,0.0
12116976,2024,False,Rony,835260.0,save,assisted,right-foot,0.048508040606976,0.0547,3.3,35.6,72,0.0
12116976,2024,False,Murilo,874729.0,save,set-piece,head,0.10996850579977,0.2278,6.3,55.7,70,0.0
12116976,2024,True,Willian Oliveira,295167.0,miss,regular,left-foot,0.012674904428422,0.0,26.2,41.9,56,0.0
12116976,2024,False,Raphael Veiga,840020.0,miss,free-kick,left-foot,0.031768936663866,0.0,19.2,82.8,54,0.0
12116976,2024,True,Matheuzinho,795266.0,block,assisted,left-foot,0.072058409452438,0.0,15.8,39.1,47,0.0
12116976,2024,False,Endrick,1174937.0,miss,assisted,left-foot,0.020872609689832,0.0,22.2,70.1,45,5.0
12116976,2024,True,Willian Oliveira,295167.0,block,corner,head,0.069316245615482,0.0,2.9,40.3,45,4.0
12116976,2024,True,Alerrandro,923948.0,block,assisted,right-foot,0.087427638471127,0.0,9.4,66.7,45,3.0
12116976,2024,True,Osvaldo,90468.0,save,regular,right-foot,0.53430074453354,0.6644,4.6,47.4,45,2.0
12116976,2024,True,Matheuzinho,795266.0,miss,assisted,left-foot,0.03824358060956,0.0,13.8,70.2,39,0.0
12116976,2024,True,Mateus Gonçalves,787480.0,save,assisted,right-foot,0.074190273880959,0.3427,18.7,50.5,37,0.0
12116976,2024,True,Camutanga,931759.0,block,assisted,right-foot,0.015353629365563,0.0,37.1,65.4,30,0.0
12116976,2024,True,Matheuzinho,795266.0,miss,set-piece,left-foot,0.020018117502332,0.0,25.2,66.5,29,0.0
12116976,2024,False,Endrick,1174937.0,miss,assisted,left-foot,0.018627079203725,0.0,23.3,69.7,26,0.0
12116976,2024,True,Alerrandro,923948.0,miss,set-piece,head,0.1642858684063,0.0,4.1,54.8,24,0.0
12116976,2024,False,Richard Ríos,1015292.0,goal,regular,right-foot,0.15211135149002,0.0686,12.9,55.8,20,0.0
12116976,2024,True,Alerrandro,923948.0,save,assisted,left-foot,0.21653121709824,0.8494,6.0,46.0,19,0.0
12116976,2024,False,Raphael Veiga,840020.0,save,regular,right-foot,0.072081185877323,0.1231,21.5,52.6,18,0.0
12116976,2024,False,Vanderlan,1067640.0,block,corner,left-foot,0.0091195683926344,0.0,33.7,39.9,14,0.0
12116976,2024,True,Alerrandro,923948.0,save,assisted,right-foot,0.026703588664532,0.0675,25.0,52.8,6,0.0
12116977,2024,True,Lima,807850.0,block,assisted,right-foot,0.02030960842967,0.0,16.3,70.3,88,0.0
12116977,2024,False,Guilherme Lopes,1097858.0,miss,regular,left-foot,0.020232055336237,0.0,23.1,29.9,87,0.0
12116977,2024,True,Martinelli,1067671.0,miss,corner,head,0.18260085582733,0.0,4.2,46.1,85,0.0
12116977,2024,True,Marcelo,17787.0,miss,set-piece,left-foot,0.0094006191939116,0.0,29.0,67.9,84,0.0
12116977,2024,True,Lima,807850.0,block,free-kick,right-foot,0.068962223827839,0.0,18.9,32.3,84,0.0
12116977,2024,False,Guilherme Lopes,1097858.0,miss,assisted,left-foot,0.016679838299751,0.0,30.6,35.8,80,0.0
12116977,2024,True,John Kennedy,1087399.0,save,assisted,right-foot,0.052835363894701,0.0338,19.1,39.9,79,0.0
12116977,2024,False,Vitinho,982405.0,save,assisted,right-foot,0.015353715978563,0.1588,27.7,23.9,77,0.0
12116977,2024,True,Jhon Arias,844096.0,miss,assisted,right-foot,0.034442611038685,0.0,21.3,37.8,76,0.0
12116977,2024,True,John Kennedy,1087399.0,miss,corner,left-foot,0.042531609535217,0.0,12.6,54.6,74,0.0
12116977,2024,True,Germán Cano,33238.0,block,regular,left-foot,0.082081139087677,0.0,23.1,56.2,73,0.0
12116977,2024,True,Jhon Arias,844096.0,save,corner,head,0.021171422675252,0.0447,11.8,44.2,72,0.0
12116977,2024,True,Germán Cano,33238.0,save,regular,right-foot,0.10303209722042,0.0679,8.5,56.6,71,0.0
12116977,2024,True,Lima,807850.0,goal,assisted,right-foot,0.018657702952623,0.145,27.4,56.4,68,0.0
12116977,2024,False,Thiago Borbas,1018547.0,save,assisted,right-foot,0.019452013075352,0.3486,11.1,69.9,67,0.0
12116977,2024,True,Marquinhos,1116954.0,save,corner,left-foot,0.021496839821339,0.2011,24.8,63.2,66,0.0
12116977,2024,True,Germán Cano,33238.0,save,assisted,right-foot,0.042211391031742,0.0632,10.1,69.3,65,0.0
12116977,2024,False,Eric Ramires,950545.0,miss,corner,left-foot,0.012557691894472,0.0,23.4,59.1,64,0.0
12116977,2024,False,Jadsom,964127.0,block,corner,right-foot,0.010529891587794,0.0,29.2,42.7,60,0.0
12116977,2024,True,Germán Cano,33238.0,miss,assisted,right-foot,0.35057339072227,0.0,5.6,49.2,58,0.0
12116977,2024,False,Eduardo Sasha,143846.0,miss,regular,right-foot,0.17479918897152,0.0,9.7,55.6,55,0.0
12116977,2024,False,Thiago Borbas,1018547.0,goal,assisted,head,0.43396937847137,0.8934,5.2,53.3,52,0.0
12116977,2024,False,Thiago Borbas,1018547.0,save,set-piece,head,0.014128403738141,0.0504,14.0,50.9,51,0.0
12116977,2024,False,Eduardo Sasha,143846.0,goal,set-piece,head,0.017349656671286,0.1214,11.6,40.7,47,0.0
12116977,2024,True,Lima,807850.0,goal,corner,head,0.21870532631874,0.4956,6.5,46.8,45,4.0
12116977,2024,False,Eduardo Sasha,143846.0,save,assisted,right-foot,0.035718470811844,0.0551,13.9,69.9,45,2.0
12116977,2024,True,Martinelli,1067671.0,block,assisted,right-foot,0.019519567489624,0.0,26.2,41.7,45,1.0
12116977,2024,True,Marcelo,17787.0,miss,set-piece,left-foot,0.004916257224977,0.0,27.8,29.5,44,0.0
12116977,2024,False,Eduardo Sasha,143846.0,save,assisted,left-foot,0.04958613589406,0.088,21.6,53.8,43,0.0
12116977,2024,True,Felipe Melo,4811.0,miss,corner,head,0.013932088389993,0.0,12.3,56.3,41,0.0
12116977,2024,False,Juninho Capixaba,870556.0,miss,corner,left-foot,0.068630576133728,0.0,4.3,39.9,39,0.0
12116977,2024,True,Germán Cano,33238.0,save,assisted,right-foot,0.16107165813446,0.2267,14.2,57.2,35,0.0
12116977,2024,True,Marquinhos,1116954.0,save,assisted,left-foot,0.012056016363204,0.3122,20.4,73.0,34,0.0
12116977,2024,True,Marquinhos,1116954.0,miss,regular,head,0.048398811370134,0.0,10.1,60.9,32,0.0
12116977,2024,True,Marcelo,17787.0,block,assisted,right-foot,0.08297798037529,0.0,15.7,39.5,32,0.0
12116977,2024,True,Samuel Xavier,795773.0,miss,regular,left-foot,0.043539725244045,0.0,19.7,62.2,31,0.0
12116977,2024,False,Eduardo Sasha,143846.0,miss,assisted,head,0.17059005796909,0.0,8.7,54.7,29,0.0
12116977,2024,True,Jhon Arias,844096.0,save,assisted,left-foot,0.088405355811119,0.0571,14.7,65.6,28,0.0
12116977,2024,False,Luan Cândido,905459.0,miss,corner,head,0.039689671248198,0.0,9.6,56.2,27,0.0
12116977,2024,False,Ignacio Laquintana,948004.0,save,assisted,left-foot,0.055758260190487,0.2084,11.9,61.7,26,0.0
12116977,2024,True,Marquinhos,1116954.0,post,corner,left-foot,0.0086282314732671,0.0,29.0,68.9,8,0.0
12116977,2024,True,Samuel Xavier,795773.0,save,regular,right-foot,0.011035948060453,0.3997,28.5,69.4,7,0.0
12116978,2024,False,Rodrigo Ely,168745.0,miss,corner,head,0.021763540804386,0.0,7.3,38.9,90,10.0
12116978,2024,True,Rayan,1464966.0,block,assisted,left-foot,0.22774057090282,0.0,9.4,56.9,90,5.0
12116978,2024,True,Pablo Vegetti,583974.0,miss,assisted,head,0.035923577845097,0.0,11.6,56.1,89,0.0
12116978,2024,False,Nathan Fernandes,1494695.0,save,assisted,left-foot,0.059965807944536,0.2668,16.9,62.3,85,0.0
12116978,2024,True,Rayan,1464966.0,miss,regular,left-foot,0.022710798308253,0.0,19.2,65.6,80,0.0
12116978,2024,True,Rayan,1464966.0,miss,regular,left-foot,0.015514036640525,0.0,21.8,74.2,76,0.0
12116978,2024,True,Rayan,1464966.0,miss,assisted,head,0.029463704675436,0.0,11.6,54.2,72,0.0
12116978,2024,False,Franco Cristaldo,558820.0,block,free-kick,right-foot,0.05997946485877,0.0,24.3,60.7,71,0.0
12116978,2024,False,Gustavo Martins,1105796.0,goal,corner,right-foot,0.6854522228241,0.7307,2.8,53.8,68,0.0
12116978,2024,False,João Pedro Galvão,123208.0,miss,corner,head,0.073799833655357,0.0,7.1,55.2,67,0.0
12116978,2024,False,Nathan Fernandes,1494695.0,miss,assisted,right-foot,0.054671477526426,0.0,9.5,65.2,60,0.0
12116978,2024,True,Paulo Henrique,1021721.0,miss,assisted,left-foot,0.011481621302664,0.0,29.4,67.1,57,0.0
12116978,2024,True,Pablo Vegetti,583974.0,save,assisted,head,0.066952429711819,0.3,8.6,46.3,49,0.0
12116978,2024,False,João Pedro,605528.0,miss,assisted,right-foot,0.25088500976562,0.0,6.4,65.0,47,0.0
12116978,2024,True,Pablo Vegetti,583974.0,miss,assisted,head,0.069862507283688,0.0,9.1,48.1,45,5.0
12116978,2024,True,Mateus Carvalho,1391962.0,goal,corner,right-foot,0.069626614451408,0.4751,11.0,45.2,37,0.0
12116978,2024,False,Yeferson Soteldo,789960.0,block,assisted,right-foot,0.022951271384954,0.0,17.6,33.6,29,0.0
12116978,2024,True,David,840291.0,goal,corner,right-foot,0.044335074722767,0.4522,13.6,32.0,24,0.0
12116978,2024,False,Diego Costa,21212.0,miss,set-piece,left-foot,0.012596254236996,0.0,13.6,34.1,20,0.0
12116978,2024,True,Paulo Henrique,1021721.0,block,set-piece,right-foot,0.0069501702673733,0.0,25.3,69.5,9,0.0
12116978,2024,True,David,840291.0,block,set-piece,right-foot,0.1360105574131,0.0,10.8,47.2,9,0.0
12116978,2024,True,Mateus Carvalho,1391962.0,miss,set-piece,left-foot,0.042128629982471,0.0,12.2,34.2,9,0.0
12116978,2024,True,Pablo Vegetti,583974.0,block,regular,right-foot,0.069486722350121,0.0,10.8,58.3,3,0.0
12116978,2024,True,Pablo Vegetti,583974.0,block,assisted,right-foot,0.047422371804714,0.0,13.5,58.5,3,0.0
12116979,2024,False,Gustavo Scarpa,559036.0,save,free-kick,left-foot,0.084607042372227,0.5743,20.4,60.6,90,7.0
12116979,2024,False,Gustavo Scarpa,559036.0,save,free-kick,left-foot,0.027582000941038,0.0336,30.9,58.9,90,2.0
12116979,2024,True,Hugo,1017827.0,miss,regular,left-foot,0.010017485357821,0.0,26.7,50.6,88,0.0
12116979,2024,True,Paulinho,115183.0,miss,assisted,head,0.030602427199483,0.0,15.1,54.0,87,0.0
12116979,2024,True,Hugo,1017827.0,miss,free-kick,left-foot,0.029908267781138,0.0,30.6,58.8,80,0.0
12116979,2024,True,Ángel Romero,1197041.0,miss,assisted,head,0.14044255018234,0.0,9.2,53.6,77,0.0
12116979,2024,True,Yuri Alberto,905463.0,block,assisted,head,0.019741132855415,0.0,14.0,49.3,77,0.0
12116979,2024,False,Renzo Saravia,315916.0,block,fast-break,right-foot,0.021895240992308,0.0,29.5,60.3,66,0.0
12116979,2024,True,Matheuzinho,931540.0,miss,corner,right-foot,0.0088529894128442,0.0,21.0,67.3,64,0.0
12116979,2024,True,Raniele,866392.0,block,assisted,right-foot,0.016233691945672,0.0,31.5,54.4,63,0.0
12116979,2024,True,Wesley,1211632.0,block,assisted,right-foot,0.022403502836823,0.0,13.2,30.9,58,0.0
12116979,2024,True,Wesley,1211632.0,save,assisted,right-foot,0.019328502938151,0.2533,21.2,27.3,58,0.0
12116979,2024,False,Matías Zaracho,859970.0,miss,corner,right-foot,0.028328726068139,0.0,24.6,63.4,50,0.0
12116979,2024,False,Mauricio Lemos,385916.0,block,free-kick,right-foot,0.039664387702942,0.0,29.6,47.3,45,2.0
12116979,2024,False,Igor Gomes,913598.0,block,regular,right-foot,0.016145758330822,0.0,31.2,62.4,40,0.0
12116979,2024,True,Yuri Alberto,905463.0,block,regular,head,0.017229095101357,0.0,12.3,39.7,39,0.0
